Country Name,Country Code,percentage_of_GDP,percentage_of_gov,internet,electricity,2022_Secondary_Gross_Enrollment_rate
Bermuda,BMU,1.77583338857166,,,100.0,
Bhutan,BTN,7.46981980280053,22.1064354322847,86.2903,100.0,89.9829129407455
Bolivia,BOL,7.57550001144409,21.0513381966153,67.3612,99.9,90.3729338176816
Bosnia and Herzegovina,BIH,2.97012986426524,,78.8455,100.0,87.0373992919922
Botswana,BWA,,,80.3696,75.9,
Brazil,BRA,5.61922979354858,12.9340095520019,80.5278,100.0,106.031188964844
British Virgin Islands,VGB,2.48401999473572,12.2001662192542,,100.0,72.2840270996094
Brunei Darussalam,BRN,,,98.9704,100.0,89.8513650597627
Bulgaria,BGR,4.50109004974365,11.9818496704102,79.1269,100.0,96.6720733642578
Burkina Faso,BFA,5.29456753304241,21.9580967321077,14.6238,19.5,33.6212866168282
Burundi,BDI,,20.6370838073023,11.0009,10.3,
Cabo Verde,CPV,4.7252554800722,15.6936041858917,72.7601,97.1,96.4315940376876
Cambodia,KHM,1.95793279576416,11.6742808441972,59.6606,92.3,55.1346812645406
Cameroon,CMR,2.65952378267367,12.7669754975237,41.775,71.0,45.6066724321371
Canada,CAN,4.88021993637085,10.6535596847534,94.0,100.0,107.479377746582
Cayman Islands,CYM,1.48894000053406,,,100.0,85.6012268066406
Central African Republic,CAF,2.11509129476365,10.7420521886098,,15.7,
Chad,TCD,2.6016118897064,16.7226097517041,12.4865,11.7,
Channel Islands,CHI,,,,100.0,
Chile,CHL,4.89753007888794,18.3798809051514,93.5377,100.0,106.068328857422
China,CHN,,,75.6113,100.0,
Colombia,COL,,,72.7964,100.0,101.573776245117
Comoros,COM,2.43164424110924,10.476023026001,32.7685,89.9,
"Congo, Dem. Rep.",COD,2.84466514463005,,29.4996,21.5,
"Congo, Rep.",COG,2.72738253259215,15.5095016256821,37.4939,50.6,
Costa Rica,CRI,,,82.598,100.0,131.907592773438
Cote d'Ivoire,CIV,3.51197004318237,15.9030103683472,38.4133,72.0,54.0714108290486
Croatia,HRV,,,82.0716,100.0,105.577796936035
Cuba,CUB,8.44086351669284,16.9599641692685,68.25,100.0,103.627148989561
Curacao,CUW,6.08167033605813,11.8802495147707,,100.0,
Cyprus,CYP,4.73588991165161,12.4829502105713,89.601,100.0,104.005722045898
Czechia,CZE,4.30291986465454,10.0093603134155,84.5401,100.0,102.935562133789
Denmark,DNK,6.35586977005005,14.1574401855469,97.8601,100.0,130.326995849609
Djibouti,DJI,,,63.2573,65.0,
Dominica,DMA,6.04314243406571,9.35660435815347,83.3101,100.0,105.387588500977
Dominican Republic,DOM,3.61088872070271,19.2600265459877,81.5127,98.1,76.5283197247412
Ecuador,ECU,3.59897994995117,9.29942989349365,69.7181,100.0,94.1335305764161
"Egypt, Arab Rep.",EGY,,,72.1981,100.0,
El Salvador,SLV,3.25634002685547,11.4042797088623,65.5298,100.0,65.2267824913058
Equatorial Guinea,GNQ,,,59.3433,67.0,
Eritrea,ERI,,,18.7092,53.4,44.0441284179688
Estonia,EST,5.20733976364136,13.0291900634766,91.5202,100.0,112.551849365234
Eswatini,SWZ,5.57274175738511,16.620931006141,57.465,82.3,88.2913589477539
Ethiopia,ETH,3.73649512188829,23.0064025033357,,55.4,
Faroe Islands,FRO,,,,100.0,
Fiji,FJI,3.93839539074194,12.6465342556156,78.2433,92.0,95.3068339697491
Finland,FIN,6.37603998184204,12.1192598342896,92.9888,100.0,144.852462768555
France,FRA,5.32435989379883,9.11748027801514,85.3333,100.0,104.316436767578
French Polynesia,PYF,,,,100.0,
Gabon,GAB,2.20773650357931,13.8033786137402,70.7069,93.5,
"Gambia, The",GMB,2.89168744551701,17.1251741785773,44.0389,65.4,
Georgia,GEO,3.75498008728027,13.1722602844238,78.7113,100.0,103.710205488304
Germany,DEU,5.23916006088257,10.6917295455933,91.6298,100.0,100.81729888916
Ghana,GHA,2.90963831638452,13.1793045277004,69.3607,85.1,77.8168696801948
Gibraltar,GIB,,7.82075632582232,,100.0,72.4222793579102
Greece,GRC,3.37547993659973,6.38648986816406,83.1707,100.0,106.21671295166
Greenland,GRL,,,,100.0,
Grenada,GRD,4.03767284869161,9.87272223310091,74.2689,94.2,
Guam,GUM,,,,100.0,
Guatemala,GTM,3.20823001861572,22.4845294952393,55.4086,99.1,45.8926232164663
